,time,U_dv,I_dv,U_gen,I_gen,n_dvig,n_n,t_gtr2,p_gtr2,t_do,t_after
0,1,260.3843688964844,307.27001953125,259.3255615234375,-0.2924500107765198,447,475,63.00926971435547,0.08955000340938568,44.419281005859375,51.48440170288086
1,2,260.3843688964844,307.27001953125,259.3255615234375,-0.2924500107765198,442,482,63.00926971435547,0.08955000340938568,44.419281005859375,51.48440170288086
2,3,262.1330261230469,303.3973083496094,253.5496368408203,-0.22597000002861023,437,498,63.00926971435547,0.27788999676704407,44.34733963012695,51.648860931396484
3,4,264.13787841796875,300.4785461425781,253.36480712890625,-0.2558099925518036,441,506,62.9379997253418,0.5625500082969666,44.395301818847656,51.62535858154297
4,5,264.13787841796875,300.4785461425781,253.36480712890625,-0.2558099925518036,442,538,62.9379997253418,0.5625500082969666,44.395301818847656,51.62535858154297
5,6,263.4743957519531,302.85406494140625,258.35064697265625,-0.32089999318122864,434,567,62.747920989990234,0.6546499729156494,44.29938888549805,51.930789947509766
6,7,263.5547180175781,300.53765869140625,272.285888671875,-0.3357200026512146,432,590,62.676639556884766,0.6985399723052979,44.27540969848633,51.648860931396484
7,8,263.5547180175781,300.53765869140625,272.285888671875,-0.3357200026512146,432,616,62.676639556884766,0.6985399723052979,44.27540969848633,51.648860931396484
8,9,263.3957214355469,301.06890869140625,289.05511474609375,-0.20124000310897827,434,634,62.557838439941406,0.7112100124359131,44.227439880371094,51.71934127807617
9,10,262.84014892578125,304.53662109375,303.0605773925781,-0.25473999977111816,430,661,62.581600189208984,0.7114899754524231,44.01163101196289,51.907291412353516
10,11,262.84014892578125,304.53662109375,303.0605773925781,-0.25473999977111816,429,680,62.581600189208984,0.7114899754524231,44.01163101196289,51.907291412353516
11,12,262.23309326171875,305.1506042480469,322.0876770019531,-0.32618001103401184,432,714,62.510318756103516,0.7020300030708313,44.10755157470703,51.8837890625
12,13,261.7183837890625,305.8658142089844,335.9675598144531,-0.2518799901008606,429,730,62.39152908325195,0.6863899827003479,43.43613815307617,51.71934127807617
13,14,261.36334228515625,307.2807922363281,353.4433898925781,-0.26666000485420227,428,731,62.10641098022461,0.6575499773025513,43.62797164916992,51.86029815673828
14,15,261.36334228515625,307.2807922363281,353.4433898925781,-0.26666000485420227,428,782,62.10641098022461,0.6575499773025513,43.62797164916992,51.86029815673828
15,16,260.92376708984375,308.2613830566406,365.61956787109375,-0.3279399871826172,435,772,62.10641098022461,0.6325600147247314,43.93968963623047,52.236209869384766
16,17,260.5186462402344,309.51617431640625,383.9612731933594,-0.26872000098228455,431,811,62.03512954711914,0.5908499956130981,44.08356857299805,52.2831916809082
17,18,260.5186462402344,309.51617431640625,383.9612731933594,-0.26872000098228455,432,820,62.03512954711914,0.5908499956130981,44.08356857299805,52.2831916809082
18,19,260.1287841796875,310.3205871582031,396.84417724609375,-0.27858999371528625,427,817,61.86882019042969,0.5513499975204468,44.323360443115234,52.236209869384766
19,20,260.1287841796875,310.3205871582031,396.84417724609375,-0.27858999371528625,429,863,61.86882019042969,0.5513499975204468,44.323360443115234,52.236209869384766
20,21,259.7945861816406,310.6691589355469,408.1141662597656,-0.23477999866008759,431,871,61.91632843017578,0.5072500109672546,43.963680267333984,52.00127029418945
21,22,259.5542907714844,310.6560974121094,417.94256591796875,-0.3237200081348419,427,848,61.8213005065918,0.4847800135612488,43.364200592041016,51.62535858154297
22,23,259.5542907714844,310.6560974121094,417.94256591796875,-0.3237200081348419,430,877,61.8213005065918,0.4847800135612488,43.364200592041016,51.62535858154297
23,24,259.3100891113281,312.7294921875,428.6267395019531,-0.37911999225616455,428,872,61.8213005065918,0.45179998874664307,43.7238883972168,51.53137969970703
24,25,259.2514343261719,312.30072021484375,434.39471435546875,-0.2754800021648407,429,869,61.79753112792969,0.434469997882843,43.91572189331055,51.86029815673828
25,26,259.19476318359375,310.9672546386719,439.7077331542969,-0.31828999519348145,430,875,61.607460021972656,0.4181700050830841,44.03561019897461,51.930789947509766
26,27,259.19476318359375,310.9672546386719,439.7077331542969,-0.31828999519348145,430,900,61.607460021972656,0.4181700050830841,44.03561019897461,51.930789947509766
27,28,259.16619873046875,312.54388427734375,446.0858459472656,-0.3560900092124939,429,914,61.607460021972656,0.4009400010108948,44.08356857299805,51.81330871582031
28,29,259.1518249511719,311.88665771484375,450.33837890625,-0.30548998713493347,430,893,61.607460021972656,0.389490008354187,43.43613815307617,51.78982162475586
29,30,259.1518249511719,311.88665771484375,450.33837890625,-0.30548998713493347,430,903,61.607460021972656,0.389490008354187,43.43613815307617,51.78982162475586
30,31,259.2606201171875,311.97357177734375,455.52703857421875,-0.30671998858451843,429,921,61.53617858886719,0.3746800124645233,43.41215896606445,51.86029815673828
31,32,259.42401123046875,312.3406066894531,460.12518310546875,-0.39500999450683594,430,909,61.559940338134766,0.36616000533103943,43.580020904541016,51.766319274902344
32,33,259.42401123046875,312.3406066894531,460.12518310546875,-0.39500999450683594,429,909,61.559940338134766,0.36616000533103943,43.580020904541016,51.766319274902344
33,34,259.5682678222656,312.045654296875,464.92657470703125,-0.3490700125694275,428,928,61.346099853515625,0.35868000984191895,43.7238883972168,52.07175064086914
34,35,259.7152404785156,311.1681823730469,469.1271667480469,-0.3369399905204773,425,922,61.393619537353516,0.3548400104045868,43.89173889160156,52.14223098754883
35,36,259.7152404785156,311.1681823730469,469.1271667480469,-0.3369399905204773,430,918,61.393619537353516,0.3548400104045868,43.89173889160156,52.14223098754883
36,37,259.80517578125,308.95654296875,471.4250793457031,-0.25692999362945557,429,927,61.393619537353516,0.35199999809265137,43.963680267333984,52.37717056274414
37,38,260.0036315917969,309.0939636230469,474.1996765136719,-0.32319000363349915,430,947,61.22731018066406,0.34665000438690186,44.05958938598633,52.588619232177734
38,39,260.0036315917969,309.0939636230469,474.1996765136719,-0.32319000363349915,431,928,61.22731018066406,0.34665000438690186,44.05958938598633,52.588619232177734
39,40,260.1520080566406,310.4554138183594,476.0221862792969,-0.38098999857902527,430,958,60.94219970703125,0.339819997549057,43.867759704589844,52.33018112182617
40,41,260.3304443359375,307.4815368652344,478.23004150390625,-0.31725001335144043,433,917,60.77587890625,0.3373599946498871,43.388179779052734,52.37717056274414
41,42,260.4620056152344,308.45245361328125,479.7624816894531,-0.31172001361846924,432,925,60.84716033935547,0.33059000968933105,43.67593002319336,52.212711334228516
42,43,260.4620056152344,308.45245361328125,479.7624816894531,-0.31172001361846924,430,940,60.84716033935547,0.33059000968933105,43.67593002319336,52.212711334228516
43,44,260.6004943847656,309.19488525390625,481.5750427246094,-0.3810800015926361,430,986,61.156028747558594,0.32965001463890076,43.91572189331055,52.16572189331055
44,45,260.6004943847656,309.19488525390625,481.5750427246094,-0.3810800015926361,433,928,61.156028747558594,0.32965001463890076,43.91572189331055,52.16572189331055
45,46,260.7392883300781,308.8307189941406,483.5445251464844,-0.36322999000549316,433,966,61.203548431396484,0.32455000281333923,43.963680267333984,52.47114944458008
